rtt;msec
0.193;174.855
Pacotes enviados:1
Pacotes retransmitidos:0
Pacotes confirmados:1

Envio: 0
rtt;msec
0.064;218.618
0.061;240.509
0.205;247.253
0.223;243.945
0.218;234.162
0.355;220.328
0.375;204.361
0.466;187.439
0.464;170.493
0.599;153.957
0.548;138.352
0.556;123.798
0.567;110.388
0.544;98.173
0.738;86.960
0.491;77.092
0.445;68.258
0.380;60.389
0.474;53.280
0.139;47.216
0.478;41.510
0.122;36.751
0.164;32.452
0.481;28.383
0.163;25.080
0.527;21.861
0.335;19.225
0.124;17.064
0.310;14.976
0.210;13.223
0.134;11.723
0.102;10.400
0.153;9.172
0.449;7.863
0.302;6.882
0.348;5.998
0.270;5.300
0.468;4.536
0.673;3.754
0.659;3.155
0.492;2.809
0.658;2.385
0.681;2.036
0.683;1.762
0.809;1.576
0.837;1.458
1.036;1.559
0.532;1.565
0.456;1.593
0.378;1.634
0.116;1.819
0.322;1.732
0.532;1.474
0.274;1.468
0.269;1.431
0.560;1.259
0.782;1.347
0.850;1.454
0.767;1.423
0.754;1.369
0.730;1.290
0.874;1.365
0.626;1.220
0.575;1.144
0.541;1.102
0.517;1.075
0.642;0.982
0.152;1.246
0.050;1.462
0.199;1.448
0.111;1.465
0.171;1.390
0.306;1.200
0.645;1.262
0.393;1.063
0.627;1.118
0.713;1.224
0.644;1.209
0.504;1.042
0.502;0.913
0.563;0.877
0.295;0.939
0.157;1.064
0.134;1.135
0.106;1.171
0.280;1.031
0.125;1.032
0.116;1.011
0.350;0.885
0.302;0.741
0.266;0.661
0.253;0.605
0.092;0.678
0.140;0.672
0.149;0.645
0.100;0.648
0.294;0.613
0.222;0.525
0.234;0.455
0.433;0.602
0.317;0.576
0.207;0.540
0.324;0.537
0.150;0.555
0.088;0.601
0.301;0.579
0.302;0.557
0.259;0.492
0.248;0.431
0.129;0.475
0.390;0.571
0.325;0.564
0.299;0.525
0.486;0.680
0.567;0.856
0.566;0.962
0.481;0.934
0.648;1.069
0.708;1.204
0.683;1.252
0.675;1.258
0.652;1.220
0.787;1.313
0.583;1.154
0.559;1.007
0.540;0.907
0.521;0.844
0.688;0.908
0.187;1.108
0.077;1.294
0.149;1.323
0.137;1.315
0.343;1.118
0.297;0.999
0.279;0.913
0.425;0.839
0.417;0.769
0.585;0.881
0.587;0.947
0.757;1.149
0.707;1.219
0.681;1.223
0.695;1.223
0.709;1.220
0.740;1.234
0.760;1.247
0.739;1.219
0.491;1.169
0.145;1.375
0.444;1.247
0.388;1.180
0.300;1.177
0.211;1.215
0.134;1.266
0.339;1.110
0.085;1.174
0.270;1.044
0.465;0.983
0.484;0.945
0.485;0.907
0.474;0.858
0.480;0.820
0.450;0.755
0.231;0.811
0.195;0.857
0.108;0.932
0.341;0.787
0.278;0.720
0.440;0.732
0.453;0.744
0.428;0.718
0.439;0.702
0.417;0.662
0.603;0.814
0.579;0.883
0.411;0.784
0.157;0.898
0.106;0.987
0.419;0.891
0.294;0.813
0.473;0.816
0.535;0.868
0.114;0.957
0.153;0.960
0.375;0.847
0.604;0.986
0.486;0.948
0.291;0.877
0.446;0.824
0.453;0.785
0.457;0.752
0.673;0.938
0.881;1.259
0.857;1.434
0.626;1.300
0.740;1.305
0.573;1.124
0.517;1.026
0.183;1.197
0.151;1.301
0.076;1.390
0.284;1.251
0.310;1.110
0.242;1.044
0.125;1.063
0.108;1.059
0.088;1.041
0.178;0.933
0.417;0.913
0.095;0.903
0.364;0.842
0.297;0.720
0.468;0.798
0.485;0.856
0.461;0.858
0.423;0.809
0.611;0.953
0.663;1.089
0.708;1.209
0.680;1.245
0.637;1.208
0.770;1.298
0.588;1.159
0.583;1.045
0.583;0.956
0.103;1.192
0.103;1.313
0.379;1.148
0.324;1.056
0.290;0.999
0.261;0.961
0.472;0.901
0.499;0.875
0.230;0.896
0.200;0.911
0.137;0.946
0.343;0.800
0.073;0.883
0.245;0.783
0.273;0.680
0.277;0.596
0.209;0.582
0.137;0.616
0.092;0.656
0.089;0.668
0.152;0.610
0.111;0.588
0.351;0.641
0.125;0.607
0.270;0.569
0.194;0.497
0.275;0.488
0.483;0.683
0.311;0.633
0.262;0.541
0.145;0.558
Pacotes enviados:256
Pacotes retransmitidos:63
Pacotes confirmados:256

Envio: 1
rtt;msec
0.067;0.615
0.073;0.630
0.145;0.569
0.101;0.549
0.151;0.484
0.131;0.446
0.339;0.542
0.260;0.520
0.254;0.491
0.425;0.636
0.452;0.752
0.451;0.817
0.475;0.872
0.645;1.066
0.676;1.212
0.650;1.264
0.612;1.241
0.421;1.064
0.414;0.932
0.395;0.844
0.288;0.852
0.137;0.953
0.163;0.975
0.115;0.999
0.357;0.863
0.317;0.738
0.330;0.638
0.498;0.731
0.258;0.704
0.249;0.678
0.498;0.762
0.111;0.836
0.135;0.844
0.382;0.794
0.298;0.678
0.482;0.762
0.247;0.713
0.207;0.697
0.136;0.724
0.392;0.723
0.103;0.761
0.169;0.716
0.159;0.677
0.110;0.672
0.333;0.665
0.308;0.625
0.318;0.599
0.522;0.777
0.528;0.891
0.519;0.946
0.514;0.964
0.687;1.135
0.712;1.258
0.446;1.055
0.626;1.084
0.773;1.235
0.804;1.351
0.138;1.453
0.411;1.274
0.282;1.226
0.301;1.151
0.431;0.978
0.162;1.049
0.109;1.108
0.374;0.930
0.318;0.826
0.513;0.862
0.499;0.861
0.471;0.820
0.449;0.761
0.637;0.900
0.643;0.990
0.643;1.037
0.431;0.941
0.587;0.933
0.592;0.922
0.617;0.930
0.212;1.058
0.148;1.163
0.101;1.236
0.304;1.096
0.487;1.020
0.414;0.880
0.461;0.821
0.468;0.778
0.413;0.689
0.384;0.644
0.365;0.620
0.152;0.756
0.083;0.879
0.341;0.747
0.265;0.699
0.216;0.691
0.085;0.769
0.217;0.700
0.133;0.703
0.416;0.748
0.276;0.633
0.225;0.585
0.122;0.619
0.169;0.590
0.106;0.606
0.426;0.711
0.398;0.744
0.368;0.724
0.561;0.893
0.256;0.794
0.184;0.766
0.125;0.774
0.159;0.734
0.177;0.675
0.395;0.716
0.313;0.650
0.304;0.587
0.314;0.547
0.398;0.598
0.363;0.590
0.201;0.596
0.073;0.683
0.129;0.679
0.329;0.653
0.162;0.626
0.090;0.647
0.154;0.596
0.106;0.584
0.133;0.541
0.099;0.526
0.149;0.465
0.105;0.448
0.307;0.516
0.085;0.510
0.240;0.492
0.135;0.450
0.107;0.433
0.301;0.500
0.300;0.537
0.313;0.567
0.501;0.766
0.494;0.882
0.601;1.053
0.587;1.137
0.772;1.360
0.696;1.412
0.693;1.420
0.680;1.390
0.778;1.447
0.962;1.646
0.798;1.592
0.637;1.371
0.565;1.221
0.495;1.155
0.186;1.322
0.488;1.170
0.081;1.355
0.283;1.284
0.253;1.229
0.162;1.231
0.090;1.252
0.314;1.062
0.453;0.985
0.673;1.138
0.517;1.067
0.491;0.978
0.450;0.863
0.623;0.948
0.616;0.986
0.462;0.868
0.445;0.790
0.567;0.807
0.118;0.999
0.384;0.897
0.294;0.882
0.311;0.841
0.301;0.805
0.492;0.805
0.521;0.824
0.505;0.811
0.451;0.739
0.627;0.859
0.685;0.989
0.487;0.866
0.425;0.814
0.579;0.833
0.596;0.853
0.088;1.077
0.171;1.130
0.099;1.189
0.332;1.019
0.742;1.228
0.706;1.314
0.594;1.240
0.766;1.343
0.784;1.410
0.770;1.421
0.486;1.272
0.638;1.172
0.604;1.056
0.571;0.938
0.143;1.170
0.398;1.099
0.249;1.142
0.284;1.116
0.210;1.129
0.199;1.116
0.075;1.173
0.100;1.157
0.214;1.028
0.130;0.980
0.101;0.945
0.114;0.885
0.136;0.805
0.116;0.747
0.115;0.690
0.098;0.647
0.175;0.544
0.064;0.548
0.162;0.463
0.127;0.423
0.391;0.584
0.368;0.660
0.328;0.662
0.504;0.828
0.531;0.954
0.448;0.940
0.459;0.927
0.869;1.314
0.958;1.643
0.526;1.405
0.231;1.358
0.133;1.365
0.367;1.156
0.562;1.127
0.087;1.203
0.282;1.071
0.503;1.030
0.294;0.937
0.236;0.899
0.358;0.765
0.154;0.815
0.134;0.842
0.362;0.764
0.253;0.696
0.404;0.697
0.260;0.646
0.246;0.611
0.140;0.656
0.436;0.716
0.356;0.667
0.568;0.837
0.787;1.159
0.755;1.327
0.464;1.128
0.489;1.002
0.630;1.044
0.644;1.073
0.607;1.041
Pacotes enviados:256
Pacotes retransmitidos:56
Pacotes confirmados:256

Envio: 2
rtt;msec
0.212;1.130
0.056;1.276
0.285;1.163
0.076;1.217
0.230;1.102
0.156;1.055
0.105;1.034
0.158;0.951
0.131;0.892
0.124;0.835
0.094;0.798
0.168;0.696
0.118;0.650
0.441;0.776
0.331;0.737
0.288;0.656
0.454;0.758
0.446;0.807
0.466;0.848
0.485;0.882
0.646;1.053
0.675;1.181
0.649;1.223
0.685;1.269
0.695;1.291
0.690;1.282
0.654;1.221
0.602;1.112
0.333;1.133
0.144;1.264
0.390;1.130
0.274;1.106
0.299;1.046
0.507;0.974
0.506;0.912
0.471;0.823
0.063;1.016
0.098;1.087
0.317;0.938
0.086;0.994
0.305;0.838
0.525;0.914
0.568;0.995
0.516;0.982
0.454;0.898
0.572;0.946
0.070;1.078
0.190;1.042
0.151;1.022
0.379;0.899
0.163;0.887
0.118;0.889
0.362;0.813
0.303;0.689
0.385;0.678
0.560;0.837
0.502;0.874
0.529;0.914
0.513;0.912
0.699;1.084
0.497;0.983
0.488;0.893
0.426;0.799
0.576;0.841
0.153;0.978
0.129;1.061
0.315;0.946
0.116;1.000
0.240;0.915
0.172;0.890
0.120;0.889
0.111;0.872
0.083;0.857
0.174;0.756
0.103;0.724
0.292;0.671
0.073;0.676
0.190;0.572
0.159;0.516
0.089;0.520
0.165;0.452
0.076;0.466
0.332;0.554
0.258;0.531
0.278;0.527
0.379;0.618
0.271;0.562
0.229;0.485
0.149;0.486
0.064;0.540
0.251;0.503
0.302;0.522
0.466;0.692
0.480;0.810
0.452;0.849
0.448;0.859
0.573;0.977
0.631;1.100
0.610;1.145
0.646;1.194
0.611;1.174
0.617;1.149
0.561;1.060
0.242;1.107
0.142;1.185
0.133;1.211
0.121;1.203
0.322;1.014
0.245;0.925
0.259;0.835
0.414;0.796
0.518;0.862
0.510;0.887
0.499;0.880
0.680;1.045
0.686;1.148
0.687;1.202
0.473;1.036
0.415;0.953
0.323;0.951
0.086;1.108
0.166;1.119
0.138;1.117
0.126;1.095
0.174;1.014
0.091;0.996
0.350;0.889
0.316;0.768
0.296;0.654
0.467;0.739
0.443;0.763
0.433;0.758
0.654;0.966
0.860;1.298
0.972;1.615
0.976;1.807
0.747;1.677
0.687;1.504
0.888;1.565
0.513;1.426
0.442;1.359
0.351;1.355
0.108;1.503
0.166;1.513
0.138;1.499
0.181;1.415
0.121;1.366
0.403;1.156
0.272;1.030
0.303;0.900
0.292;0.804
0.420;0.767
0.240;0.746
0.204;0.744
0.326;0.644
0.144;0.696
0.134;0.720
0.143;0.711
0.142;0.689
0.216;0.601
0.102;0.617
0.286;0.580
0.293;0.553
0.292;0.527
0.467;0.677
0.449;0.751
0.463;0.804
0.479;0.844
0.645;1.025
0.883;1.370
0.880;1.578
0.897;1.710
0.756;1.630
0.930;1.724
1.050;1.881
1.043;1.951
1.016;1.942
1.017;1.908
0.459;1.874
0.473;1.797
0.447;1.724
0.398;1.673
0.139;1.794
0.377;1.644
0.535;1.387
0.067;1.542
0.265;1.450
0.438;1.223
0.703;1.275
0.746;1.334
0.750;1.358
0.811;1.417
0.771;1.396
0.962;1.554
1.025;1.702
0.741;1.494
0.697;1.301
0.630;1.206
0.551;1.185
0.144;1.456
0.380;1.416
0.107;1.563
0.368;1.417
0.275;1.359
0.443;1.161
0.279;1.131
0.218;1.131
0.329;1.019
0.185;1.032
0.127;1.058
0.418;0.951
0.458;0.904
0.375;0.776
0.318;0.713
0.056;0.856
0.272;0.763
0.100;0.815
0.492;0.885
0.388;0.815
0.298;0.713
0.092;0.787
0.107;0.803
0.790;1.190
0.063;1.180
0.248;1.000
0.448;0.977
0.503;1.001
0.575;1.073
0.575;1.104
0.453;0.987
0.436;0.876
0.213;0.902
0.169;0.931
0.082;0.991
0.371;0.874
0.357;0.767
0.531;0.859
0.516;0.893
0.475;0.863
0.475;0.832
0.638;0.962
0.722;1.122
0.762;1.255
0.754;1.318
0.747;1.335
0.941;1.522
0.923;1.608
0.684;1.405
0.641;1.225
0.592;1.125
0.525;1.094
0.156;1.332
0.432;1.244
0.267;1.285
0.323;1.238
0.186;1.282
Pacotes enviados:256
Pacotes retransmitidos:63
Pacotes confirmados:256

Envio: 3
rtt;msec
0.075;1.359
0.121;1.335
0.360;1.102
0.341;0.941
0.286;0.857
0.443;0.819
0.099;0.907
0.250;0.826
0.163;0.820
0.485;0.873
0.097;0.908
0.276;0.771
0.268;0.672
0.305;0.590
0.239;0.556
0.168;0.578
0.137;0.602
0.618;0.878
0.291;0.741
0.142;0.748
0.429;0.780
0.315;0.677
0.340;0.623
0.276;0.565
0.225;0.556
0.051;0.671
0.149;0.653
0.113;0.653
0.109;0.639
0.256;0.573
0.243;0.508
0.098;0.531
0.158;0.487
0.109;0.485
0.403;0.624
0.344;0.650
0.284;0.597
0.434;0.703
0.444;0.773
0.626;0.992
0.676;1.173
0.873;1.474
0.848;1.628
0.828;1.684
0.920;1.786
0.598;1.504
0.543;1.301
0.444;1.219
0.252;1.284
0.168;1.358
0.443;1.163
0.087;1.279
0.401;1.083
0.314;0.998
0.144;1.049
0.124;1.068
0.355;0.899
0.322;0.778
0.339;0.671
0.504;0.751
0.498;0.790
0.243;0.789
0.387;0.707
0.366;0.623
0.070;0.780
0.138;0.810
0.092;0.843
0.117;0.822
