rtt;msec
0.171;10.000
Pacotes enviados:1
Pacotes retransmitidos:2
Pacotes confirmados:1

Envio: 0
rtt;msec
0.127;10.000
0.271;10.000
0.430;10.000
0.577;10.000
0.772;10.000
0.902;10.000
0.996;10.000
1.102;10.000
1.080;10.000
1.015;10.000
0.980;10.000
0.930;10.000
0.138;10.000
0.399;10.000
0.402;10.000
0.572;10.000
0.553;10.000
0.638;10.000
0.750;10.000
0.862;10.000
0.966;10.000
1.074;10.000
1.186;10.000
1.085;10.000
0.164;10.000
0.117;10.000
0.450;10.000
0.631;10.000
0.781;10.000
0.892;10.000
0.315;10.000
0.054;10.000
0.344;10.000
0.506;10.000
0.668;10.000
0.134;10.000
0.345;10.000
0.634;10.000
0.608;10.000
0.763;10.000
0.956;10.000
0.930;10.000
1.004;10.000
0.915;10.000
1.009;10.000
1.128;10.000
1.067;10.000
0.990;10.000
0.153;10.000
0.434;10.000
0.452;10.000
0.636;10.000
0.943;10.000
1.154;10.000
1.335;10.000
1.224;10.000
0.794;10.000
0.763;10.000
0.680;10.000
0.128;10.000
0.397;10.000
0.598;10.000
0.405;10.000
0.350;10.000
0.165;10.000
2.024;10.000
3.024;10.000
3.313;10.000
4.034;10.000
4.097;10.000
6.069;10.000
7.628;10.000
8.002;10.000
6.620;10.000
7.660;10.000
7.783;10.000
0.038;10.000
0.269;10.000
0.393;10.000
0.118;10.000
0.304;10.000
0.498;10.000
0.700;10.000
0.927;10.000
1.162;10.000
1.448;10.000
1.692;10.000
1.851;10.000
1.820;10.000
1.786;10.000
1.750;10.000
1.730;10.000
1.658;10.000
1.632;10.000
0.174;10.000
0.224;10.000
0.355;10.000
0.441;10.000
0.571;10.000
0.689;10.000
0.901;10.000
1.068;10.000
0.156;10.000
0.378;10.000
0.624;10.000
0.583;10.000
0.551;10.000
0.604;10.000
0.759;10.000
0.909;10.000
1.048;10.000
1.195;10.000
1.320;10.000
1.302;10.000
1.168;10.000
0.128;10.000
0.330;10.000
0.421;10.000
0.425;10.000
0.543;10.000
0.668;10.000
0.785;10.000
0.893;10.000
1.004;10.000
1.131;10.000
0.136;10.000
0.407;10.000
0.709;10.000
0.633;10.000
0.775;10.000
0.720;10.000
0.879;10.000
1.013;10.000
1.264;10.000
1.408;10.000
1.325;10.000
1.247;10.000
1.195;10.000
1.122;10.000
0.140;10.000
0.399;10.000
0.359;10.000
0.521;10.000
0.475;10.000
0.553;10.000
0.664;10.000
0.763;10.000
0.883;10.000
1.023;10.000
0.168;10.000
0.503;10.000
0.372;10.000
0.521;10.000
0.649;10.000
0.949;10.000
0.924;10.000
1.009;10.000
1.107;10.000
1.212;10.000
1.158;10.000
0.094;10.000
0.152;10.000
0.262;10.000
0.479;10.000
0.677;10.000
0.770;10.000
0.856;10.000
0.916;10.000
0.854;10.000
0.742;10.000
0.103;10.000
0.406;10.000
0.663;10.000
0.870;10.000
0.862;10.000
1.032;10.000
1.183;10.000
1.128;10.000
1.217;10.000
1.355;10.000
1.367;10.000
1.643;10.000
1.852;10.000
2.043;10.000
1.865;10.000
1.853;10.000
1.853;10.000
1.636;10.000
1.587;10.000
1.216;10.000
1.122;10.000
1.056;10.000
0.133;10.000
0.589;10.000
0.417;10.000
0.567;10.000
0.754;10.000
