rtt;msec
0.163;10.000
Pacotes enviados:1
Pacotes retransmitidos:0
Pacotes confirmados:1

Envio: 0
rtt;msec
0.061;10.000
0.057;10.000
0.101;10.000
0.094;10.000
0.164;10.000
0.098;10.000
0.442;10.000
0.380;10.000
0.338;10.000
0.158;10.000
0.380;10.000
0.162;10.000
0.122;10.000
0.110;10.000
0.133;10.000
0.157;10.000
0.123;10.000
0.087;10.000
0.114;10.000
0.194;10.000
0.058;10.000
0.235;10.000
0.285;10.000
0.299;10.000
0.481;10.000
0.500;10.000
0.539;10.000
0.528;10.000
0.693;10.000
0.714;10.000
0.694;10.000
0.735;10.000
0.675;10.000
0.628;10.000
0.591;10.000
0.536;10.000
0.351;10.000
0.139;10.000
0.099;10.000
0.340;10.000
0.572;10.000
0.537;10.000
0.465;10.000
0.666;10.000
0.696;10.000
0.690;10.000
0.572;10.000
0.699;10.000
0.674;10.000
0.547;10.000
0.211;10.000
0.134;10.000
0.084;10.000
0.167;10.000
0.448;10.000
0.109;10.000
0.408;10.000
0.434;10.000
0.703;10.000
1.004;10.000
0.774;10.000
1.144;10.000
0.185;10.000
0.085;10.000
0.158;10.000
0.090;10.000
0.336;10.000
0.284;10.000
0.323;10.000
0.486;10.000
0.502;10.000
0.532;10.000
0.506;10.000
0.771;10.000
0.587;10.000
0.438;10.000
0.385;10.000
0.504;10.000
0.151;10.000
0.098;10.000
0.124;10.000
0.446;10.000
0.368;10.000
0.291;10.000
0.218;10.000
0.196;10.000
0.087;10.000
0.147;10.000
0.103;10.000
0.352;10.000
0.332;10.000
0.575;10.000
0.621;10.000
0.547;10.000
0.501;10.000
0.448;10.000
0.469;10.000
0.242;10.000
0.210;10.000
0.109;10.000
0.294;10.000
0.240;10.000
0.290;10.000
0.143;10.000
0.419;10.000
0.376;10.000
0.314;10.000
0.246;10.000
0.092;10.000
0.163;10.000
0.451;10.000
0.079;10.000
0.353;10.000
0.578;10.000
0.591;10.000
0.910;10.000
1.212;10.000
1.139;10.000
0.804;10.000
0.306;10.000
0.134;10.000
0.097;10.000
0.324;10.000
0.253;10.000
0.249;10.000
0.103;10.000
0.170;10.000
0.150;10.000
0.588;10.000
0.318;10.000
0.399;10.000
0.331;10.000
0.514;10.000
0.508;10.000
0.490;10.000
0.451;10.000
0.652;10.000
0.432;10.000
0.192;10.000
0.156;10.000
0.413;10.000
0.628;10.000
0.273;10.000
0.405;10.000
0.626;10.000
0.493;10.000
0.434;10.000
0.405;10.000
0.426;10.000
0.222;10.000
0.110;10.000
0.108;10.000
0.347;10.000
0.303;10.000
0.510;10.000
0.499;10.000
0.233;10.000
0.365;10.000
0.366;10.000
0.064;10.000
0.147;10.000
0.118;10.000
0.088;10.000
0.269;10.000
0.198;10.000
0.126;10.000
0.146;10.000
0.124;10.000
0.139;10.000
0.065;10.000
0.234;10.000
0.266;10.000
0.243;10.000
0.406;10.000
0.447;10.000
0.456;10.000
0.477;10.000
0.472;10.000
0.234;10.000
0.209;10.000
0.146;10.000
0.376;10.000
0.065;10.000
0.231;10.000
0.143;10.000
0.099;10.000
0.143;10.000
0.127;10.000
0.359;10.000
0.097;10.000
0.148;10.000
0.422;10.000
0.377;10.000
0.274;10.000
0.276;10.000
0.443;10.000
0.458;10.000
0.472;10.000
0.469;10.000
0.634;10.000
0.236;10.000
0.216;10.000
0.167;10.000
0.419;10.000
0.140;10.000
0.406;10.000
0.145;10.000
0.081;10.000
0.241;10.000
0.066;10.000
0.204;10.000
0.179;10.000
0.078;10.000
0.171;10.000
0.075;10.000
0.275;10.000
0.261;10.000
0.263;10.000
0.434;10.000
0.064;10.000
0.339;10.000
0.152;10.000
0.413;10.000
0.112;10.000
0.233;10.000
0.214;10.000
0.088;10.000
0.141;10.000
0.090;10.000
0.436;10.000
0.289;10.000
0.447;10.000
0.443;10.000
0.457;10.000
0.464;10.000
0.632;10.000
0.679;10.000
0.678;10.000
0.704;10.000
0.745;10.000
0.921;10.000
0.765;10.000
0.720;10.000
0.585;10.000
0.515;10.000
0.623;10.000
0.139;10.000
0.077;10.000
0.299;10.000
0.531;10.000
0.571;10.000
0.629;10.000
0.845;10.000
0.830;10.000
0.864;10.000
0.135;10.000
Pacotes enviados:256
Pacotes retransmitidos:62
Pacotes confirmados:256

Envio: 1
rtt;msec
0.094;10.000
0.063;10.000
0.125;10.000
0.369;10.000
0.120;10.000
0.075;10.000
0.129;10.000
0.106;10.000
0.106;10.000
0.095;10.000
0.153;10.000
0.125;10.000
0.433;10.000
0.355;10.000
0.268;10.000
0.426;10.000
0.076;10.000
0.207;10.000
0.148;10.000
0.361;10.000
0.088;10.000
0.287;10.000
0.253;10.000
0.221;10.000
0.194;10.000
0.159;10.000
0.055;10.000
0.248;10.000
0.237;10.000
0.243;10.000
0.251;10.000
0.150;10.000
0.561;10.000
0.433;10.000
0.380;10.000
0.576;10.000
0.566;10.000
0.537;10.000
0.511;10.000
0.718;10.000
0.875;10.000
0.606;10.000
0.437;10.000
0.559;10.000
0.565;10.000
0.098;10.000
0.201;10.000
0.129;10.000
0.363;10.000
0.301;10.000
0.294;10.000
0.477;10.000
0.541;10.000
0.564;10.000
0.515;10.000
0.477;10.000
0.506;10.000
0.139;10.000
0.412;10.000
0.495;10.000
0.419;10.000
0.643;10.000
0.560;10.000
0.496;10.000
0.473;10.000
0.648;10.000
0.681;10.000
0.710;10.000
0.704;10.000
0.735;10.000
0.914;10.000
0.896;10.000
0.456;10.000
0.408;10.000
0.545;10.000
0.517;10.000
0.167;10.000
0.389;10.000
0.098;10.000
0.329;10.000
0.268;10.000
0.169;10.000
0.124;10.000
0.361;10.000
0.322;10.000
0.302;10.000
0.453;10.000
0.467;10.000
0.556;10.000
0.576;10.000
0.490;10.000
0.470;10.000
0.267;10.000
0.162;10.000
0.120;10.000
0.377;10.000
0.315;10.000
0.246;10.000
0.126;10.000
0.414;10.000
0.445;10.000
0.311;10.000
0.311;10.000
0.516;10.000
0.601;10.000
0.566;10.000
0.543;10.000
0.726;10.000
0.747;10.000
0.750;10.000
0.783;10.000
0.781;10.000
0.962;10.000
1.075;10.000
1.003;10.000
1.012;10.000
1.035;10.000
0.758;10.000
0.701;10.000
0.096;10.000
0.170;10.000
0.429;10.000
0.165;10.000
0.393;10.000
0.076;10.000
0.264;10.000
0.255;10.000
0.236;10.000
0.231;10.000
0.187;10.000
0.184;10.000
0.110;10.000
0.309;10.000
0.528;10.000
0.138;10.000
0.081;10.000
0.170;10.000
0.109;10.000
0.153;10.000
0.119;10.000
0.404;10.000
0.296;10.000
0.296;10.000
0.236;10.000
0.384;10.000
0.429;10.000
0.426;10.000
0.211;10.000
0.202;10.000
0.080;10.000
0.144;10.000
0.153;10.000
0.055;10.000
0.273;10.000
0.050;10.000
0.139;10.000
0.409;10.000
0.112;10.000
0.129;10.000
